"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-01",,,"49","54","41"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-02","0.03",,"44","51",
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-03","0.00",,"36","43",
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-04","0.00",,"38","44",
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-05","0.00",,"44","52","35"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-06","0.00",,"46","54","38"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-07","0.00",,"49","60","38"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-08","0.08",,"48","54","43"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-09","0.24",,"46","51",
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-10","0.86",,"42","49","36"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-11","0.00",,"41","49","33"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-12","0.00",,"42","49",
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-13",,,"45","57","35"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-14","0.00",,"48","60","38"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-15",,,"48","56","39"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-16",,,"47","57",
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-17","0.00",,"45","54","38"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-18","0.00",,"46","55","38"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-19",,,"48","54","39"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-20",,,"52","63","44"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-21","0.00",,"51","59","42"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-22","0.00",,"53","61",
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-23","0.02",,"51","54","46"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-24","0.17",,"53","58","48"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-25","0.04",,"47","54",
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-26","0.00",,"40","46",
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-27","0.00",,"36","41",
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-28","0.00",,"31","38","24"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-29","0.00",,"32","41","25"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-30","0.00",,"38","47","28"
"IR000407540","TEHRAN MEHRABAD, IR","2016-01-31","0.00",,"42","48","34"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-01","0.00",,"43","51",
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-02",,,"45","52",
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-03","0.00",,"44","51",
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-04","0.00",,"45","54","36"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-05","0.00",,"48","60",
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-06",,,"52","63","41"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-07","0.00",,"56","61",
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-08","0.02",,"37",,
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-09","0.05",,"30","39",
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-10","0.00",,"34","41","27"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-11","0.00",,"35","44","29"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-12","0.00",,"40","52","28"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-13","0.00",,"44",,"34"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-14",,,"46",,"36"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-15","0.00",,"49",,"38"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-16",,,"52","62","43"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-17","0.00",,"51","59","41"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-18","0.00",,"50","60","41"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-19","0.00",,"53","62","42"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-20",,,"55","61","49"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-21",,,"59","67",
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-22","0.00",,"63","70","56"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-23","0.00",,"66","76","54"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-24","0.00",,"56",,
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-25","0.14",,"53","61","40"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-26","0.00",,"57","66","46"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-27","0.00",,"62","70","51"
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-28","0.00",,"61","67",
"IR000407540","TEHRAN MEHRABAD, IR","2016-02-29","0.00",,"54","62",
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-01","0.00",,"54","65","45"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-02","0.00",,"54","61","45"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-03","0.00",,"56","63",
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-04","0.00",,"60",,"48"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-05","0.00",,"66","74","55"
"IR000407540","TEHRAN MEHRABAD, IR","2016-03-06",,,"65","73",
